State,District,Year,Crop,Season,Area,Production,Yield,Annual_Rainfall,Fertilizer
,,2019 - 2020,Barley,Rabi,40.0,46.0,1.15,1000,50
,,2019 - 2020,Gram,Rabi,10838.0,10524.0,0.97,1000,50
,,2019 - 2020,Groundnut,Kharif,213.0,269.0,1.26,1000,50
,,2019 - 2020,Jowar,Kharif,58.0,57.0,0.98,1000,50
,,2019 - 2020,Linseed,Rabi,4961.0,2692.0,0.54,1000,50
,,2019 - 2020,Maize,Kharif,10153.0,18986.0,1.87,1000,50
,,2019 - 2020,Masoor,Rabi,17901.0,8972.0,0.5,1000,50
,,2019 - 2020,Moong(Green Gram),Kharif,11.0,4.0,0.36,1000,50
,,2019 - 2020,Other Rabi pulses,Rabi,615.0,363.0,0.59,1000,50
,,2019 - 2020,Peas & beans (Pulses),Rabi,1759.0,1172.0,0.67,1000,50
,,2019 - 2020,Rapeseed &Mustard,Rabi,7654.0,3169.0,0.41,1000,50
,,2019 - 2020,Rice,Kharif,124947.0,254430.66,2.04,1000,50
,,2019 - 2020,Soyabean,Kharif,3284.0,2374.0,0.72,1000,50
,,2019 - 2020,Urad,Kharif,1938.0,955.0,0.49,1000,50
,,2019 - 2020,Wheat,Rabi,20470.0,33100.0,1.62,1000,50
,,2019 - 2020,Niger seed,Kharif,2084.0,816.0,0.39,1000,50
,,2019 - 2020,Sesamum,Kharif,639.0,150.0,0.23,1000,50
,,2019 - 2020,Small millets,Kharif,8758.0,8451.0,0.96,1000,50
,,2019 - 2020,Mesta,Kharif,5.0,,,1000,50
,,2020 - 2021,Arhar/Tur,Kharif,2945.0,1973.0,0.67,1000,50
,,2020 - 2021,Barley,Rabi,67.0,53.0,0.79,1000,50
,,2020 - 2021,Gram,Rabi,7810.0,8786.0,1.12,1000,50
,,2020 - 2021,Groundnut,Kharif,129.0,225.0,1.74,1000,50
,,2020 - 2021,Jowar,Kharif,49.0,51.0,1.04,1000,50
,,2020 - 2021,Linseed,Rabi,5916.0,3608.0,0.61,1000,50
,,2020 - 2021,Maize,Kharif,8886.0,14138.0,1.59,1000,50
,,2020 - 2021,Masoor,Rabi,20713.0,14913.0,0.72,1000,50
,,2020 - 2021,Moong(Green Gram),Kharif,14.0,4.0,0.29,1000,50
,,2020 - 2021,Peas & beans (Pulses),Rabi,1871.0,1244.0,0.66,1000,50
,,2020 - 2021,Rapeseed &Mustard,Rabi,6046.0,3978.0,0.66,1000,50
,,2020 - 2021,Rice,Kharif,129351.0,263398.67,2.04,1000,50
,,2020 - 2021,Soyabean,Kharif,4024.0,2909.0,0.72,1000,50
,,2020 - 2021,Urad,Kharif,1352.0,642.0,0.47,1000,50
,,2020 - 2021,Wheat,Rabi,18607.0,29325.0,1.58,1000,50
,,2020 - 2021,Niger seed,Kharif,2987.0,1314.0,0.44,1000,50
,,2020 - 2021,Sesamum,Kharif,552.0,171.0,0.31,1000,50
,,2021 - 2022,Arhar/Tur,Kharif,2176.0,1508.0,0.69,1000,50
,,2021 - 2022,Barley,Rabi,16.0,14.0,0.88,1000,50
,,2021 - 2022,Gram,Rabi,6472.0,8808.0,1.36,1000,50
,,2021 - 2022,Groundnut,Kharif,51.0,89.0,1.75,1000,50
,,2021 - 2022,Jowar,Kharif,12.0,14.0,1.17,1000,50
,,2021 - 2022,Linseed,Rabi,5021.0,2390.0,0.48,1000,50
,,2021 - 2022,Maize,Kharif,8012.0,16744.0,2.09,1000,50
,,2021 - 2022,Masoor,Rabi,17729.0,12286.0,0.69,1000,50
,,2021 - 2022,Moong(Green Gram),Kharif,26.0,12.0,0.46,1000,50
,,2021 - 2022,Peas & beans (Pulses),Rabi,2063.0,1444.0,0.7,1000,50
,,2021 - 2022,Rapeseed &Mustard,Rabi,4163.0,1915.0,0.46,1000,50
,,2021 - 2022,Rice,Kharif,135252.0,203328.66,1.5,1000,50
,,2021 - 2022,Soyabean,Kharif,2581.0,2415.0,0.94,1000,50
,,2021 - 2022,Urad,Kharif,682.0,428.0,0.63,1000,50
,,2021 - 2022,Wheat,Rabi,18237.0,39301.0,2.16,1000,50
,,2021 - 2022,Niger seed,Kharif,947.0,462.0,0.49,1000,50
,,2021 - 2022,Sesamum,Kharif,102.0,32.0,0.31,1000,50
,,2021 - 2022,Small millets,Kharif,6722.0,5277.0,0.79,1000,50
,,2022 - 2023,Arhar/Tur,Kharif,2050.0,1384.0,0.68,1000,50
,,2022 - 2023,Bajra,Kharif,2.0,3.0,1.5,1000,50
,,2022 - 2023,Barley,Rabi,50.0,41.0,0.82,1000,50
,,2022 - 2023,Gram,Rabi,16500.0,12210.0,0.74,1000,50
,,2022 - 2023,Groundnut,Kharif,105.0,184.0,1.75,1000,50
,,2022 - 2023,Jowar,Kharif,8.0,10.0,1.25,1000,50
,,2022 - 2023,Linseed,Rabi,5686.0,3639.0,0.64,1000,50
,,2022 - 2023,Maize,Kharif,7347.0,17009.0,2.32,1000,50
,,2022 - 2023,Masoor,Rabi,20800.0,14414.0,0.69,1000,50
,,2022 - 2023,Peas & beans (Pulses),Rabi,1830.0,1317.0,0.72,1000,50
,,2022 - 2023,Rapeseed &Mustard,Rabi,5477.0,3724.0,0.68,1000,50
,,2022 - 2023,Rice,Kharif,135881.0,320000.0,2.36,1000,50
,,2022 - 2023,Soyabean,Kharif,3770.0,3091.0,0.82,1000,50
